policy_text,label
The Public Procurement Transparency Bill introduces digital portals for public monitoring of government spending in Telangana.,High Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Andhra Pradesh.,High Impact
The Open Government Data Policy introduces digital portals for public monitoring of government spending in Maharashtra.,High Impact
The Public Procurement Transparency Bill enhances transparency standards and civic oversight across administrative bodies in Madhya Pradesh.,High Impact
This regulation updates routine government operational rules under the Administrative Procedure Simplification Bill in Odisha.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Rajasthan under the Public Procurement Transparency Bill.,High Impact
"Under the Right to Information Act, all government departments must release public data to citizens in Maharashtra.",High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Tamil Nadu under the Government Accountability and Transparency Act.,High Impact
The Municipal Parking Regulation Bill modifies internal administrative processes and documentation standards in Bihar.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Assam under the Public Procurement Transparency Bill.,High Impact
The Open Government Data Policy enhances transparency standards and civic oversight across administrative bodies in Haryana.,High Impact
"Under the Whistle Blowers Protection Act, all government departments must release public data to citizens in Tamil Nadu.",High Impact
The Public Office Infrastructure Maintenance Policy introduces minor regulatory adjustments to administrative workflows in Karnataka.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Uttar Pradesh under the Government Accountability and Transparency Act.,High Impact
