policy_text,policy_area,ministry,year,public_sentiment,impact_label
The central government introduces a large-scale initiative to modernize education.,education,Ministry of Education,2012,Neutral,High Impact
The central government introduces a large-scale initiative to modernize agriculture.,agriculture,Ministry of Labour and Employment,2012,Positive,High Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Ministry of Education,2016,Neutral,High Impact
A new national policy improves access to social welfare services across multiple states.,social welfare,Ministry of Education,2021,Neutral,High Impact
A comprehensive reform significantly improves public access to environment services.,environment,Ministry of Health and Family Welfare,2023,Positive,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Road Transport and Highways,2008,Neutral,High Impact
A comprehensive reform significantly improves public access to education services.,education,Ministry of Agriculture and Farmers Welfare,2018,Neutral,High Impact
Minor administrative changes were introduced in local urban development department procedures.,urban development,Ministry of Labour and Employment,2012,Neutral,Low Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Health and Family Welfare,2014,Neutral,Low Impact
A routine regulation modifies internal operations in the digital governance sector.,digital governance,Ministry of Labour and Employment,2017,Negative,Low Impact
Minor administrative changes were introduced in local transport department procedures.,transport,"Ministry of Environment, Forest and Climate Change",2012,Negative,Low Impact
The government launches a nationwide employment reform program affecting millions of citizens.,employment,Ministry of Agriculture and Farmers Welfare,2016,Positive,High Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Ministry of Agriculture and Farmers Welfare,2008,Positive,High Impact
Minor administrative changes were introduced in local education department procedures.,education,Ministry of Home Affairs,2023,Neutral,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Ministry of Home Affairs,2024,Negative,Low Impact
A comprehensive reform significantly improves public access to urban development services.,urban development,Ministry of Social Justice and Empowerment,2024,Neutral,High Impact
Small procedural adjustments were made in the management of health programs.,health,Ministry of Home Affairs,2016,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Agriculture and Farmers Welfare,2009,Positive,High Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Ministry of Social Justice and Empowerment,2014,Negative,Low Impact
The central government introduces a large-scale initiative to modernize agriculture.,agriculture,"Ministry of Environment, Forest and Climate Change",2021,Neutral,High Impact
A comprehensive reform significantly improves public access to urban development services.,urban development,Ministry of Home Affairs,2017,Positive,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Home Affairs,2014,Neutral,High Impact
The central government introduces a large-scale initiative to modernize agriculture.,agriculture,Ministry of Labour and Employment,2009,Positive,High Impact
